movie_no,movie_name,movie_year,movie_certificate,movie_runtime,movie_genre,movie_score,movie_gross,movie_director,movie_star,movie_writer,tomatoter,audience
624,Grigris,2013,NR,100 minutes,Drama,,,Mahamat-Saleh Haroun,"Souleymane Démé, Soulémane Démé, Anaïs Monory, Cyril Guei, Marius Yelolo, Hadje Fatime N'Goua, Abakar M'Bairo","Mahamat-Saleh Haroun, Jacques Akchoti",62%,33%
625,Secret in Their Eyes,2015,PG-13,90 minutes,"Drama, Mystery & Suspense",,,Billy Ray,"Chiwetel Ejiofor, Julia Roberts, Nicole Kidman, Dean Norris, Alfred Molina, Michael Kelly, Zoe Graham, Lyndon Smith, Don Harvey, Joe Cole, Frankie Sims, Patrick Davis, Benjamin Waters, Greg Duncan, Toni French, John Papsidera, Amir Malaklou, Stephanie McIntyre, Phillip O'Riley, Walter Tabayoyong, Alessandro Cuomo, Bryan Williams, Glenn Davis, Jahmilla Jackson, Mark Famiglietti, Ross Partridge, John Pirruccello, Ho-Sung Pak, Kim Yarbrough, Eileen Fogarty, Laurence Todd Rosenthal, David Pearl, Niko Nicotera, Israel Feres David, Erik M. Solky, Dennis Keifer, Michael Tennant, Noel Gugliemi, Ho Sung Pak, Carrick O'Quinn, C.C. Taylor, Carlo Zapata, Erik Solky",Billy Ray,40%,41%
626,The Wolfpack,2015,R,80 minutes,Documentary,,"$1,300,447",Crystal Moselle,"Bhagavan Angulo, Govinda Angulo, Narayana Angulo, Mukunda Angulo, Krsna Angulo, Krisna Angulo, Mukanda Angulo, Jagadisa Angulo, Visnu Angulo, Susanne Angulo, Oscar Angulo",,85%,68%
627,Night Will Fall,2014,NR,80 minutes,"Documentary, Drama, Special Interest",,,André Singer,"Helena Bonham Carter, Sidney Bernstein, Alfred Hitchcock, Richard Crossman, Billy Wilder, Peter Tanner, Arthur Mainzer",Lynette Singer,100%,92%
628,Atomic Blonde,2017,R,115 minutes,"Action & Adventure, Drama, Mystery & Suspense",,"$51,536,935",David Leitch,"Charlize Theron, James McAvoy, John Goodman, Til Schweiger, Eddie Marsan, Sofia Boutella, Toby Jones, James Faulkner, Jóhannes Haukur Jóhannesson, Roland Møller, Bill Skarsgård, Barbara Sukowa, Johannes Johannesson, Daniel Bernhardt",Kurt Johnstad,77%,64%
629,Cousin Jules,2013,NR,91 minutes,Documentary,,,Dominique Benicheti,,,100%,83%
630,Lyle,2014,NR,65 minutes,"Drama, Horror",,,Stewart Thorndike,"Gaby Hoffmann, Ashlie Atkinson, Ingrid Jungermann, Michael Che, Kim Allen, Rebecca Street, Eleanor Hopkins",Stewart Thorndike,100%,34%
631,Mateo,2015,NR,88 minutes,"Action & Adventure, Documentary, Drama, Musical & Performing Arts",,,Aaron I. Naar,"Matthew Stoneman, Xiomara Savón Espichicofue, Richard Stoneman, Jorge Luis Valdés Chicoy, Yamila Mendez Savon, Yanaisys Zamora Chavez, Miroy Matos Pineda, Rolando Baró, Ana Maria Vila Afantinez, Emilio al Monto Valdés, Omar Gonzalez Sanchez, Osvaldo Padrón González, Yasmel Giley Pérez, Flora Villarreal Montes, Enrique Barque Jaronn, Raul Arroyo Alcantara, Yoneysis Frontela Moregón, José Jargon Blando, Mercedes Inortela Morezón, Farima Blanco Ramos, Eric Abdel Méndez Savón",,57%,47%
632,Girl Rising,2013,PG-13,101 minutes,"Documentary, Special Interest",,"$849,484","Richard E. Robbins, Gareth Smith, Chris Wilcha, Jenny Lee Wright","Anne Hathaway, Kerry Washington, Selena Gomez, Meryl Streep, Cate Blanchett, Priyanka Chopra, Chloë Grace Moretz, Alicia Keys, Freida Pinto, Liam Neeson","Manjushree Thapa, Loung Ung, Marie Arana, Maaza Mengiste, Edwidge Danticat, Sooni Taraporevala, Mona Eltahawy, Zarghuna Kargar, Aminatta Forna",89%,82%
633,Seymour: An Introduction,2015,PG,84 minutes,Documentary,,"$723,701",Ethan Hawke,"Seymour Bernstein, Kimball Gallagher, Andrew Harvey, Junko Ichikawa, Michael Kimmelman",,100%,80%
634,The Houses October Built,2014,NR,91 minutes,"Drama, Horror",,,Bobby Roe,"Bobby Roe, Brandy Schaefer, Mikey Roe, Jeff Larson (III), Zack Andrews, Tansy Alexander, Robert J. Benjamin, Kahl Brice, Laura Buono, Bart Butler, Amber Campisi, Chloë Crampton, Donald Dantzler, Josephine Duran, Dan Merket, Sam Munoz","Bobby Roe, Zack Andrews, Jason Zada",50%,29%
635,Every Thing Will Be Fine,2015,NR,118 minutes,"Art House & International, Drama",,,,,,28%,24%
636,Cult of Chucky,2017,R,91 minutes,Horror,,,Don Mancini,"Jennifer Tilly, Fiona Dourif, Brad Dourif, Alex Vincent, Michael Therriault, Elisabeth Rosen, Zak Santiago, Summer H. Howell, Grace Lynn Kung, Ali Tataryn",Don Mancini,82%,49%
637,Resistance,2011,NR,92 minutes,"Art House & International, Drama, Mystery & Suspense",,,Amit Gupta,"Andrea Riseborough, Michael Sheen, Tom Wlaschiha, Iwan Rheon, Kimberley Nixon, Stanislav Ianevski, Sharon Morgan, Anatole Taubman, Alexander Doetsch, George Taylor, Tomos Eames","Amit Gupta, Owen Sheers",60%,16%
638,Whitewash,2014,NR,91 minutes,Drama,,,Emanuel Hoss-Desmarais,"Thomas Haden Church, Marc Labrèche, Geneviève Laroche, Anie Pascale, Isabelle Nélisse, Vincent Hoss-Desmarais, Emanuel Hoss-Desmarais","Emanuel Hoss-Desmarais, Marc Tulin",83%,34%
639,The Interview,2014,R,112 minutes,Comedy,,"$4,551,688","Seth Rogen, Evan Goldberg","James Franco, Seth Rogen, Lizzy Caplan, Randall Park, Diana Bang, Timothy C. Simons, Joseph Gordon-Levitt, Anders Holm, Reese Alexander, James Yi, Paul Bae, Geoff Gustafson, Dominique Lalonde, Anesha Bailey, Charles Chun, Charles Rahi Chun, Don Chow, Yun-a Song, Willem Jacobson, Daniel Lim, Harrison Lee, Jason Cox, John Coughlin, Peter Neilly, Yoosik Oum, Scott Seol, Daniel Park, Justin Lee (II), Don Lew, Andrew Chin, Jung Jin Park, Dan Sterling, Fred Henderson, Danny Shea, Tommy Chang, Justin Cho, David Kim, Adrian deLotz, Hong-Gill Cha, Sean Cho, David Ko, Jack Jekeon Cha, William ""Bigsleeps"" Stewart, Alice Wetterlund, Stacey Turner, Ben Schwartz, Danyella Angel, Alan Blumenfeld, Paola Botero, Thomas Cadrot, Steve Chang, David Diaan, Paul Herbert, Daniel Juhn, Nick Kaiser, Daeyoung Danny Kim, Crystal Lee, Won Hee Lee, Mercy Malick, Isaac Shr, Paniz Zade","Seth Rogen, Evan Goldberg",51%,48%
640,Banksy Does New York,2014,NR,75 minutes,Documentary,,,Chris Moukarbel,,,100%,74%
641,The SpongeBob Movie: Sponge Out of Water,2015,PG,100 minutes,"Animation, Comedy, Kids & Family",,,Paul Tibbitt,"Tom Kenny, Bill Fagerbakke, Rob Paulsen, Rodger Bumpass, Clancy Brown, Carolyn Lawrence, Antonio Banderas, Mr. Lawrence, Jill Talley, Mary Jo Catlett, Tim Conway, Eddie Deezen, Cree Summer, April Stewart, Kevin Michael Richardson, Eric Bauza, Billy West","Glenn Berger, Paul Tibbitt, Jonathan Aibel, Stephen Hillenburg",80%,54%
642,The Canal,2014,NR,92 minutes,Horror,,,Ivan Kavanagh,"Rupert Evans, Antonia Campbell-Hughes, Hannah Hoekstra, Steve Oram, Kelly Byrne, Calum Heath, Maura Foley, Carl Shaaban, Serena Brabazon, Anthony Murphy, Conor Horgan, Paddy Curran, Sinead Watters, Alicja Ayres",Ivan Kavanagh,75%,49%
643,The Iron Ministry,2015,NR,82 minutes,Documentary,,,J.P. Sniadecki,,J.P. Sniadecki,87%,50%
644,The Rover,2014,R,103 minutes,"Mystery & Suspense, Science Fiction & Fantasy, Western",,"$709,133",David Michôd,"Robert Pattinson, Guy Pearce, Scoot McNairy, David Field, Anthony Hayes, Gillian Jones, Susan Prior, Chan Kien, Tek Kong Lim, Tawanda Manyimo, Scott Perry, Richard Green, Ben Armer, Ethan Hanslow, James Fallon, Chen 'Frank' Sun, Samuel F. Lee, Gerald Coulthard, Christina Ling, Joseph Wilton, Nash Edgerton, Daria Wilton, Mark Duncan, Jacky Mayo, Jan Palo","David Linde, Joel Edgerton, David Michôd",66%,51%
645,Spark: A Space Tail,2017,PG,90 minutes,"Action & Adventure, Animation, Comedy, Kids & Family, Science Fiction & Fantasy",,"$190,511",Aaron Woodley,"Jace Norman, Jessica Biel, Susan Sarandon, Patrick Stewart, Hilary Swank, Jason Deline",Aaron Woodley,14%,34%
646,Sightseers,2013,NR,98 minutes,Comedy,,"$26,183",Ben Wheatley,"Alice Lowe (III), Eileen Davies, Steve Oram, Monica Dolan, Jonathan Aris, Kenneth Hadley, Stephanie Jacob, Richard Glover, Roger Michael, Tony Way, Seamus O'Neill, Tom Meeten, Kali Peacock, Christine Talbot, Richard Lumsden, Dominic Applewhite, Aymen Hamdouchi, Sara Stewart, Rachel Austin, Gemme Lise Thornton, Alana Burnett, Lisa-Marie Hoctor, Susan Mcardle, Kelly Munro-Fawcett, Samantha Stone, Louisa Farrant, Gareth Jones, Sara Dee","Alice Lowe , Steve Oram, Amy Jump",86%,62%
647,Old Goats,2014,NR,94 minutes,Comedy,,,Taylor Guterson,"Britton Crosley, Bob Burkholder, David Vanderwal, Benita Staadecker, Gail Shackel, Steve Stolee",Taylor Guterson,64%,61%
648,The Dog,2014,NR,101 minutes,"Documentary, Drama",,"$44,569","Allison Berg, François Keraudren","John Wojtowicz, Liz Eden, George Heath, Teresa Wojtowicz, Carmen Bifulco",,91%,69%
649,A Boy Called Po,2017,PG,95 minutes,Drama,,"$2,597",John Asher,"Christopher Gorham, Julian Feder, Kaitlin Doubleday, Andrew Bowen, Sean Gunn, Caitlin Carmichael, Bryan Batt, Fay Masterson, Jayden Anderson, Tristian Chase, Kassi Crews, Tammy Dahlstrom, Mason Hafer, Kaia Jones, Nicole Koval, Richard Leacock, Holly Lynch, Craig Michaelson, Joel Michaely, Vasilios Papadamakis, Robyn Pucay, Skyler Quinn, Pilot Saraceno, Ryan Quinn Smith, Daniel Spink, Ella Thomas, Jud Tylor, Bruce VanPatten, Robert L. Wilson, Brian George",Colin Goldman,31%,80%
650,Despite The Falling Snow,2017,PG-13,93 minutes,"Art House & International, Mystery & Suspense, Romance",,,Shamim Sarif,"Rebecca Ferguson, Sam Reid, Charles Dance, Thure Lindhart, Antje Traue, Oliver Jackson-Cohen, Anthony Head, Thure Lindhardt, Amy Nuttall, Ben Batt, Anne Kidd, Ana Sofrenovic, Trudie Styler, Andrija Maricic, Luca Sarif-Kattan, Luca Sarif, Jelena Gavrilovic, Ariella Imerman, Ariella Imerman-Tchenguiz, Ethan Sarif, Ethan Sarif-Kattan, Milos Andjelkovic, Vuk Toskovic, Milos Timotijevic, Ljubomir Todorovic, Tamara Krcunovic, Peter Chaffey, Zlata Numanagic, Mark Jax",Shamim Sarif,10%,38%
651,Pirates of the Caribbean: Dead Men Tell No Tales,2017,PG-13,135 minutes,"Action & Adventure, Drama",,"$172,537,139","Espen Sandberg, Joachim Rønning","Johnny Depp, Orlando Bloom, Kaya Scodelario, Javier Bardem, Geoffrey Rush, Brenton Thwaites, David Wenham, Stephen Graham, Golshifteh Farahani, Kevin McNally, Martin Klebba, Mahesh Jadu, Jessica Green (XIII), Adam Brown, Mark Preston, Goran D. Kleut, Zoe Ventoura",Jeff Nathanson,30%,61%
652,Postman Pat: The Movie,2014,NR,117 minutes,"Animation, Comedy",,"$1,628,568",Mike Disa,"Stephen Mangan, Ronan Keating, Jim Broadbent, Jane Carr, Robin Atkin Downes, Susan Duerden, Greg Ellis, Rupert Grint, Dan Hildebrand, David Tennant","Kim Fuller, Annika Bluhm",46%,47%
653,Hector And The Search For Happiness,2014,R,114 minutes,Drama,,,Peter Chelsom,"Simon Pegg, Toni Collette, Rosamund Pike, Christopher Plummer, Stellan Skarsgard, Jean Reno, Chris Gauthier, Jordan Schartner, Tracy Ann Oberman, Veronica Ferres, Jakob Davies, Michael D. Adamthwaite, Vincent Gale, Gabrielle Rose, Bruce Richard Fontaine, Bernard Cuffling, Dean Paul Gibson, Eileen Barrett, Malcom Boddington, Gribunina Marina, Ingrid Lin, Thorsten Wedekind, Ana Trujic, Alexa Damian, Megan White, Wang Qiong, Ming Zhao, Neil Li, Aaron Lee, Togo Igawa, Joo Kyeong Lee, S'Thandiwe Kgoroge, Christine LeBronq, Barry Atsma, Anthony Oseyemi, Dalias Blake, Sebelethu Bonkolo, Hlubi Mboya, Mary Twala, Sam Medupe, Charles Baloyi, Senzo Vilakazi, Akin Omotoso, Walter Chukwu, Tessa Jubber, Sivan Raphedy, Gys de Villiers, Chantel Herman, Hannah Longworth, Aiden Longworth, Chad Willett, Elizabeth McLaughlin","Peter Chelsom, Francis Lelord, Tinker Lindsay, Maria von Heland, François Lelord",38%,61%
654,The Man Who Invented Christmas,2017,PG,104 minutes,"Comedy, Drama",,"$5,652,908",Bharat Nalluri,"Dan Stevens (IV), Christopher Plummer, Jonathan Pryce, Miriam Margolyes, Simon Callow",Susan Coyne,80%,79%
655,Wish Upon,2017,PG-13,89 minutes,Horror,,"$14,301,001",John R. Leonetti,"Joey King, Ryan Phillippe, Ki Hong Lee, Mitchell Slaggert, Shannon Purser, Sydney Park, Alice Lee (XIV), Kevin Hanchard, Sherilyn Fenn, Elisabeth Röhm, Josephine Langford, Alexander Nunez, Daniela Barbosa, Reagan Revord, Victor Sutton, Albert Chung, Michelle Alexander, Natalie Prinzen-Klages, Nora Prinzen-Klages, Monique Stinchcombe, Danielle Pollari, Rosalina Lee, Ryan Taerk",Barbara Marshall,16%,32%
656,StreetDance 2,2012,NR,85 minutes,"Art House & International, Drama, Musical & Performing Arts",,"$1,124,582","Max Giwa, Dania Pasquini","Tom Conti, George Sampson, Falk Hentschel, Flawless Entertainment, Sofia Boutella",Jane English,42%,37%
657,Don't Breathe,2016,R,88 minutes,"Horror, Mystery & Suspense",,"$89,210,468",Fede Alvarez,"Jane Levy, Dylan Minnette, Daniel Zovatto, Stephen Lang, Emma Bercovici, Franciska Torocsik, Christian Zagia, Katia Bokor, Sergej Onopko, Olivia Gillies, Dayna Clark","Fede Alvarez, Rodo Sayagues",87%,79%
658,Frozen,2013,PG,102 minutes,"Animation, Kids & Family",,"$400,736,600","Jennifer Lee, Chris Buck","Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad, Santino Fontana, Alan Tudyk, Chris Williams (IX), Ciarán Hinds, Maia Wilson, Edie McClurg, Robert Pine, Maurice LaMarche, Livvy Stubenrauch, Eva Bella, Spencer Lacey Ganus, Jesse Corti, Stephen J. Anderson, Jeffrey Marcus, Tucker Gilmore, Ava Acres, Annaleigh Ashford, Jenica Bergere, Paul Briggs, Woody Buck, Lewis Cleale, Terri Douglas, Jean Gilpin, Nicholas Guest, Nick Jameson, John Lavelle, Pat Lentz, Katie Lowes, Dara McGarry, Adam Overett, Courtney Peldon, Raymond S. Persi, Lynwood Robinson, Jadon Sand, Pepper Sweeney, Steve Apostolina, Kirk Baily, David Boat, Tyree Brown, June Christopher, Wendy Cutler, Eddie Frierson, Carter Sand, Jackie Gonneau, Bridget Hoffman, Daniel A. Kaz, Jennifer Lee, Annie Lopez, Mona Marshall, Scott Menville, Paul Pape, Jennifer Perry, Jean-Michel Richaud, Katie Silverman, Fred Tatasciore, Robert Lopez, Kristen Anderson-Lopez",Jennifer Lee,90%,85%
659,My Italian Secret: The Forgotten Heroes,2015,NR,92 minutes,"Art House & International, Documentary, Special Interest, Sports & Fitness",,,Oren Jacoby,"Isabella Rossellini, Robert Loggia",Oren Jacoby,80%,69%
660,Manhattan Night,2016,R,113 minutes,"Drama, Mystery & Suspense",,,Brian DeCubellis,"Adrien Brody, Yvonne Strahovski, Campbell Scott, Jennifer Beals, Linda Lavin, Steven Berkoff, Kevin Breznahan, Amelie McKendry, Madison Elizabeth Lagares, Thomas Bair, Allegra Cohen, Will Beinbrink, Frank Deal, Maria-Christina Oliveras, Chinasa Ogbuagu, Theis Weckesser, Karin delaPenha, Uzimann, George Pogatsia, Maureen Isern, Stan Carp, Grace Rundhaug, Freia M. Titland, Raul Aranas, Michael G. Chin, Arlene A. McGruder, Oscar Castillo, George Peck, Jahni Brown, Nancy Cullen, Dennis Lauricella",Brian DeCubellis,33%,54%
661,Paul Blart: Mall Cop 2,2015,PG,94 minutes,"Comedy, Kids & Family",,,Andy Fickman,"Kevin James, Raini Rodriguez, Neal McDonough, Shirley Knight, Daniella Alonso, Eduardo Verástegui, David Henrie, Gary Valentine, Ana Gasteyer, Nicholas Turturro, Loni Love, Shelly Desai, Vic Dibitetto, D.B. Woodside, Bas Rutten, Steffiana De La Cruz, Leif Gantvoort, Chelsea Vincent, Geovanni Gopradi, Conrad Goode, Nico Santos, Bob Clendenin, Jackie Benoit, Eric Genuis, Lauren Ash, Jackie Sandler, Steve Wynn, Andrea Wynn, Nikki Tyler-Flynn, Hudson West, Greg Vaccariello, Daniel Guire, Chris Monty, Scott Henry, Ryan Parsons, Max Alexander, Mike Burton, George Klein, Richie Minervini, Paula Trickey, Nichelle Hines, John Joseph, Sean Christie, Javier DelPrado, Rob Magnotti, Chris Titone, Leif Manson, Zachary Morris, Joe Childs, Brian Thoe, Daryl Morris, Mark DellaGrotte, Deven May, Jared Sandler, Lorenzo Henrie, Todd Garner, James K. Shea, Sienna James, LaToya Tonodeo, Ryan Hanna King, Gabriel E. Nunez, Cory DeMeyers","Kevin James, Nick Bakay",5%,33%
662,The Truth About Emanuel,2014,NR,96 minutes,"Comedy, Drama, Mystery & Suspense",,,Francesca Gregorini,"Kaya Scodelario, Jessica Biel, Alfred Molina, Frances O'Connor (II), Jimmi Simpson, Aneurin Barnard",Francesca Gregorini,34%,34%
663,Woodlawn,2015,PG,123 minutes,"Drama, Faith & Spirituality",,"$14,393,862","Jon Erwin, Andrew Erwin","Sean Astin, Nicholas Bishop, Caleb Castille, Sherri Shepherd, Jon Voight, C. Thomas Howell, DeVon Franklin, Brando Eaton, Kelly Greyson, Virginia Williams, Rhoda Griffis, Harry Alexander, Lance E. Nichols, Devin Bright, Joy Brunson, Jet Jurgensmeyer, Kevin Sizemore, Blake Burgess, Jason Burkey, Michael Entrekin, Carlton Byrd, Brett Rice, Rodney L. Clark, Matthew T. Cook, Kevin Downes, Richard Kohnke, Steven Chester Prince, Jeff Rose, David Kloehr, Kirk B.R. Woller, Danny Vinson, Farris Turner, Marcus Henderson, Lee Perkins, Haley Spates, Dan Vaughan, Tom Mullins, Austin Pollard, Walker Morgan Kendrick, Keith Loy, Stephen Wilson, Tyrell Humphries, Brian Wyatt, Ron Flagge, Jeremy Grimsley, Kristi Averette, Jeff Kruse, Mark Sellors, Doug Markstrom, James Vines, Justin O'Neal, William Ratcliffe, Justin Sanders, Garrett Sutphen, Ray Torillo, Hannah Waits, Justin Johnston, Christopher Snuggs","Jon Erwin, Quinton Peeples",71%,80%
664,Raise the Titanic,1980,PG,112 minutes,"Action & Adventure, Documentary",,,Jerry Jameson,"Jason Robards, Richard Jordan, David Selby, Anne Archer, Alec Guinness, J.D. Cannon, Bo Brundin, M. Emmet Walsh, Robert Broyles, Norman Bartold, Elya Baskin, Dirk Blocker, Paul Carr, Brendan Burns, Jonathan Moore, George Whiteman, Hilly Hicks",,50%,29%
665,Muscle Shoals,2013,PG,111 minutes,"Documentary, Musical & Performing Arts, Special Interest",,"$695,625","Greg 'Freddy' Camalier, Greg Camalier","Gregg Allman, Bono, Bob Dylan, Aretha Franklin, Mick Jagger, Clarence Carter, Jimmy Cliff, Rick Hall, Roger Hawkins, David Hood, Alicia Keys, Jaimoe, Donna Jean Godchaux, Ed King, Keith Richards (II), Percy Sledge, Steve Winwood, Jimmy Johnson, Candi Staton, Spooner Oldham, Percy Sledge, John-Paul White, Dan Penn, Swampers",,96%,89%
666,Creepy,2016,NR,130 minutes,Drama,,,Kiyoshi Kurosawa,"Yuko Takeuchi, Hidetoshi Nishijima, Teruyuki Kagawa, Haruna Kawaguchi, Ryoko Fujino",Kiyoshi Kurosawa,95%,58%
667,Come What May,2016,NR,114 minutes,Drama,,"$33,275",Christian Carion,"August Diehl, Olivier Gourmet, Mathilde Seigner, Alice Isaaz, Matthew Rhys, Joshio Marlon, Thomas Schmauser, Laurent Gerra","Andrew Bampfield, Christian Carion, Laure Irmann",42%,50%
668,Grease: Live!,2016,PG-13,132 minutes,"Musical & Performing Arts, Television",,,"Thomas Kail, Alex Rudzinski","Julianne Hough, Aaron Tveit, Vanessa Hudgens, Carly Rae Jepsen, Carlos Peña, Andrew Call, David Del Rio, Jordan Fisher, Kether Donohue, Keke Palmer",,91%,69%
669,Non-Stop,2014,PG-13,107 minutes,"Action & Adventure, Mystery & Suspense",,"$80,432,029",Jaume Collet-Serra,"Liam Neeson, Julianne Moore, Corey Stoll, Michelle Dockery, Scoot McNairy, Nate Parker, Lupita Nyong'o, Omar Metwally, Jason Butler Harner, Linus Roache, Shea Whigham, Anson Mount, Quinn McColgan, Corey Hawkins, Frank Deal, Bar Paly, Edoardo Costa, Jon Abrahams, Amanda Quaid, Beth Dixon, Cameron Moir, Lars Gerhard, Oliver Lehne, Michael Thomas Walker, Pat Kiernan, Annika Pergament, Victoria Arbiter, Jefrey Pollock, Hank Sheinkopf, Dani DeWaal, Adi Hanash, Allan Wilson, Alex Heineman","John J. Richardson, Christopher Roach, John W. Richardson, Ryan Engle",59%,63%
670,The Girl In The Photographs,2016,R,95 minutes,"Horror, Mystery & Suspense, Special Interest",,,Nick Simon,"Kal Penn, Claudia Lee, Christy Carlson Romano, Toby Hemingway, Katharine Isabelle, Kenny Wormald, Luke Baines, Miranda Rae Mayo, Mitch Pileggi, Autumn Kendrick, Oliver Seitz","Nick Simon , Oz Perkins, Robert Morast",15%,21%
671,Haunters: The Art of the Scare,2017,NR,88 minutes,"Documentary, Horror",,,Jon Schnitzer,"McKenzie Westmore, Jason Blum, Jessica Cameron, Jen Soska, Sylvia Soska, Patrick Tatopoulos, Jason Thompson, Paula Lindberg, Dasha Kittredge, Jill Killington, Matt Holbrook, Jon Braver, Kristjan Thor, Carol Schultz, Rick A. West",Jon Schnitzer,100%,88%
672,Jinn,2014,PG-13,97 minutes,"Horror, Mystery & Suspense, Science Fiction & Fantasy",,"$149,337",Ajmal Zaheer Ahmad,"Dominic Rains, Ray Park, William Atherton, Faran Tahir, Serinda Swan, Ajmal Zaheer Ahmad, Arman Pirzada, Imtiaz Ahmad, Dennis North, Milica Govich, Ele Bardha, Chris J. Lacentra, Paul Mocur, Walter Phelan, Toby Murray, Katelyn Patterson, Alan Noel Vega, Benjamiin Dresser, Ho Sung Pak, Reuben Yabuku, Solomon Brende, Mark Musashi, Brian Jinn, Peter Hasegawa, Sibylla Deen, Brian Jones, Jaan Ahmad",Ajmal Zaheer Ahmad,18%,32%
673,Three Night Stand,2015,NR,86 minutes,"Comedy, Drama",,,Pat Kiely,"Sam Huntington, Meaghan Rath, Emmanuelle Chriqui, Jonathan Cherry, Reagan Pasternak, Dan Beirne, Aliocha Schneider, Anne-Marie Cadieux",Pat Kiely,60%,29%
674,Joy Ride 3: Road Kill,2014,R,96 minutes,"Horror, Mystery & Suspense",,,Declan O'Brien,"Ken Kirzinger, Jesse Hutch, Benjamin Hollingsworth, Dean Armstrong, Kirsten Prout, Gianpaolo Venuta, Jake Manley, Leela Savasta",Declan O'Brien,60%,26%
675,Blue Ruin,2014,R,90 minutes,Mystery & Suspense,,,Jeremy Saulnier,"Macon Blair, Devin Ratray, Amy Hargreaves, Bonnie Johnson, David W. Thompson, Eve Plumb, Brent Werzner, Kevin Kolack, Stacy Rock, Sidne Anderson",Jeremy Saulnier,96%,79%
676,Equals,2016,PG-13,101 minutes,"Drama, Science Fiction & Fantasy",,,Drake Doremus,"Kristen Stewart, Nicholas Hoult, Guy Pearce, Bel Powley, Scott Lawrence, Jacki Weaver, Toby Huss, Kate Lyn Sheil, Aurora Perrineau, David Selby, Rebecca Hazlewood, Kai Lennox, Rizwan Manji, Teo Yoo, Nathan Parker, Jessica Lois Lois, Umali Thilakarathna, Eric Bossick, Poai Suganuma, Wendell Harrison",Nathan Parker,35%,41%
677,Speed Sisters,2017,NR,80 minutes,Documentary,,"$2,753",Amber Fares,,,91%,86%
678,Special Correspondents,2016,NR,100 minutes,Comedy,,,Ricky Gervais,"Ricky Gervais, Eric Bana, Vera Farmiga, Kelly Macdonald, Kevin Pollak, America Ferrera, Raul Castillo, Benjamin Bratt, Meghan Heffern, Alison Brooks",Ricky Gervais,16%,27%
